Identificador;Nome;Título do Desenho;Criador;Altura;Biografia
1;Mickey Mouse;Mickey Mouse Clubhouse;Walt Disney;0.69;Mickey Mouse is an iconic cartoon character created by Walt Disney. He is a cheerful and optimistic anthropomorphic mouse who wears red shorts, large yellow shoes, and white gloves. Mickey is known for his high-pitched voice, distinctive laugh, and his role as the mascot of The Walt Disney Company.
2;Bugs Bunny;Looney Tunes;Tex Avery, Bob Givens, Chuck Jones;1.03;Bugs Bunny is a clever and mischievous cartoon rabbit created by Warner Bros. He is known for his wise-cracking personality, Brooklyn accent, and ability to outsmart his enemies. Bugs Bunny often finds himself in humorous situations and is recognizable for his carrot-chomping antics.
3;Homer Simpson;The Simpsons ;Matt Groening;1.85;Homer Simpson is a lovable but dim-witted character from the animated sitcom The Simpsons. He is the father of the Simpson family and works at the Springfield Nuclear Power Plant. Homer is known for his love of food, his catchphrase D'oh!, and his often comical and bumbling behavior.
4;SpongeBob;SpongeBob SquarePants;Stephen Hillenburg;0.13;SpongeBob SquarePants is a cheerful and optimistic sea sponge who lives in the fictional underwater city of Bikini Bottom. He works as a fry cook at the Krusty Krab and is known for his infectious laughter, love of jellyfishing, and his naive but endearing personality.
5;Pikachu;Pokémon;Ken Sugimori (criado pela Game Freak);0.40;Pikachu is a yellow, electric-type Pokémon and the franchise's mascot. It is a small, mouse-like creature with rosy cheeks, long ears, and a lightning bolt-shaped tail. Pikachu is known for its ability to generate electricity, its Pika Pika cry, and its close bond with the main character, Ash Ketchum.
6;Bart Simpson;The Simpsons ;Matt Groening;1.07;Bart Simpson is a mischievous and rebellious character from The Simpsons. He is the eldest son of the Simpson family and is known for his skateboarding skills, catchphrase Eat my shorts!, and his penchant for getting into trouble at school and with the law.
7;Shrek;Shrek;William Steig (criador do livro), Andrew Adamson (diretor do filme);2.20;Shrek is a grumpy but kind-hearted ogre who stars in the DreamWorks animated film series of the same name. He lives in a swamp and embarks on various adventures alongside his loyal companion, Donkey. Shrek is known for his distinctive Scottish accent, green complexion, and his unlikely romance with Princess Fiona.
8;Scooby-Doo;Scooby-Doo;Joe Ruby, Ken Spears, Iwao Takamoto;0.79;Scooby-Doo is a lovable Great Dane and the titular character of the animated TV series Scooby-Doo, Where Are You! He is the mascot of the Mystery Inc. gang and is known for his insatiable appetite, cowardly nature, and ability to talk (albeit in a somewhat garbled manner). Scooby-Doo and his friends solve mysteries involving ghosts, monsters, and supernatural occurrences.
9;Ash Ketchum;Pokémon;Satoshi Tajiri (criador do Pokémon), Ken Sugimori (design original);1.45;Ash Ketchum is the main protagonist of the Pokémon anime series. He is a Pokémon Trainer who dreams of becoming a Pokémon Master. Ash is known for his determination, optimism, and his loyal partnership with his Pikachu. He travels the Pokémon world, capturing and training Pokémon while competing in various Pokémon battles.
10;Fred Flintstone;The Flintstone;William Hanna, Joseph Barbera;1.80;Fred Flintstone is a prehistoric character from the animated TV series The Flintstones. He is a working-class man living in the Stone Age city of Bedrock and works at the Slate Rock and Gravel Company. Fred is known for his loud voice, iconic Yabba Dabba Doo! catchphrase, and his comical antics with his best friend, Barney Rubble.
11;Daffy Duck;Looney Tunes;Tex Avery, Bob Clampett, Chuck Jones;0.90;Daffy Duck is a zany and unpredictable character from the Looney Tunes cartoons. He is a black-feathered duck known for his outrageous and often self-centered behavior. Daffy frequently finds himself in humorous and chaotic situations, often clashing with his fellow cartoon character, Bugs Bunny.
12;Tom;Tom and Jerry;William Hanna, Joseph Barbera;0.50;Tom is a gray house cat and one half of the famous duo Tom and Jerry. He is always on the chase, trying to catch Jerry the mouse, but often finds himself outsmarted and humiliated in comedic ways.
13;Jerry;Tom and Jerry;William Hanna, Joseph Barbera;0.10;Jerry is a small brown mouse and the other half of the Tom and Jerry duo. He is clever, resourceful, and quick-witted, constantly outsmarting Tom and turning the tables on him through his mischievous escapades.
14;Optimus Prime;Transformers;Hasbro, Takara Tomy;8.0;Optimus Prime is the leader of the Autobots, a group of sentient robots from the Transformers franchise. He transforms into a semi-truck and is known for his sense of justice, wisdom, and courage. Optimus Prime is a heroic figure who fights against the evil Decepticons to protect the universe.
15;Elsa;Frozen;Jennifer Lee, Chris Buck;1.68;Elsa is a fictional character from Disney's animated film Frozen. She possesses magical ice powers and struggles to control them, eventually learning to embrace her abilities. Elsa is known for her iconic ice-blue dress, her powerful song Let It Go, and her strong bond with her sister, Anna.
16;Spider-Man (Peter Parker);Spider-Man;Stan Lee, Steve Ditko;1.78;Spider-Man is a superhero created by Marvel Comics. The most well-known version is Peter Parker, a high school student who gains spider-like abilities after being bitten by a radioactive spider. Spider-Man is known for his agility, web-slinging abilities, and his sense of responsibility to protect New York City from villains.
17;Miles Morales;Spider-Man;Brian Michael Bendis, Sara Pichelli;1.75;Miles Morales is another incarnation of Spider-Man in the Marvel Comics universe. He is a young Afro-Latino teenager who takes up the mantle of Spider-Man in an alternate reality. Miles has similar powers to Peter Parker and brings his own unique style and personality to the role.
18;Woody;Toy Story;John Lasseter;0.30;Woody is a cowboy doll and the main character in the Disney-Pixar Toy Story franchise. He is the leader of Andy toys and is known for his loyalty, cowboy hat, and pull-string voice box. Woody often finds himself in adventures with his fellow toys and has a special bond with the space ranger action figure, Buzz Lightyear.
19;Buzz Lightyear;Toy Story;John Lasseter;0.20;Buzz Lightyear is a space ranger action figure and a central character in the Toy Story franchise. He is initially deluded into believing he is a real space ranger, but eventually learns he is a toy. Buzz is known for his bravery, catchphrase To infinity and beyond!, and his evolving friendship with Woody.
20;Simba;The Lion King;Walt Disney Animation Studios;0.91;Simba is the main character in Disney's animated film The Lion King. He is a young lion prince who faces adversity and ultimately becomes the rightful king of the Pride Lands. Simba is known for his journey of self-discovery, his distinctive red mane, and his iconic roar.
21;Nemo;Finding Nemo;Andrew Stanton;0.06;Nemo is a clownfish and the main character in Disney-Pixar's film Finding Nemo. He is a young fish who gets separated from his father and goes on a journey to find him. Nemo is known for his small fin, his determination, and his adventures in the vast ocean.
22;Dora the Explorer;Dora the Explorer;Chris Gifford, Valerie Walsh Valdes, Eric Weiner;1.20;Dora is a young girl who stars in the animated TV series Dora the Explorer. She embarks on educational adventures with her talking backpack and monkey companion, Boots. Dora is known for her problem-solving skills, her bilingual abilities (English and Spanish), and her interactive style of engaging with young viewers.
23;Aladdin;Aladdin;Ron Clements, John Musker;1.70;Aladdin is the protagonist of Disney's animated film Aladdin. He is a young street urchin who discovers a magical lamp containing a genie, granting him three wishes. Aladdin is known for his quick wit, his flying carpet, and his love for Princess Jasmine.
24;Moana;Moana: A Sea of Adventures;Ron Clements, John Musker;1.55;Moana is the titular character of Disney animated film Moana. She is a spirited young girl who sets sail on a daring journey to save her people and restore the heart of Te Fiti. Moana is known for her adventurous spirit, her strong connection to the ocean, and her beautiful singing voice.
25;Captain America;The Avengers;Joe Simon, Jack Kirby;1.88;Captain America, also known as Steve Rogers, is a superhero from Marvel Comics. He is a symbol of patriotism and embodies honor, courage, and leadership. Captain America possesses enhanced strength and agility, and he fights for justice and protects the innocent with his shield.
26;Iron Man;The Avengers;Stan Lee, Larry Lieber, Don Heck, Jack Kirby;1.80;Iron Man, also known as Tony Stark, is a superhero from Marvel Comics. He is a genius inventor who creates a high-tech suit of armor to protect himself and fight against villains. Iron Man is known for his charismatic personality, his wealth, and his witty remarks.
27;Batman;Justice League;Bob Kane, Bill Finger;1.88;Batman, also known as Bruce Wayne, is a superhero from DC Comics. He is a billionaire playboy who, after witnessing the murder of his parents, becomes a crime-fighting vigilante. Batman is known for his martial arts skills, his detective abilities, and his arsenal of gadgets to combat Gotham City's criminals.
28;Superman;Justice League;Jerry Siegel, Joe Shuster;1.93;Superman, also known as Clark Kent or Kal-El, is a superhero from DC Comics. He is an alien from the planet Krypton with superhuman abilities, including flight, super strength, and heat vision. Superman is known for his iconic blue and red costume, his dedication to truth and justice, and his alter ego as a mild-mannered reporter.
29;Wonder Woman;Justice League;William Moulton Marston, Harry G. Peter;1.78;Wonder Woman, also known as Diana Prince, is a superhero from DC Comics. She is an Amazonian warrior princess with superhuman strength, agility, and a variety of weapons and tools. Wonder Woman is known for her Lasso of Truth, her tiara, and her commitment to peace and justice.
30;Spider-Man (Miles Morales);Spider-Man;Brian Michael Bendis, Sara Pichelli;1.78;Miles Morales is another incarnation of Spider-Man in the Marvel Comics universe. He is a young Afro-Latino teenager who takes up the mantle of Spider-Man in an alternate reality. Miles has similar powers to Peter Parker and brings his own unique style and personality to the role.
31;Hulk;The Avengers;Stan Lee, Jack Kirby;2.74;Hulk, also known as Bruce Banner, is a superhero from Marvel Comics. He is a scientist who transforms into a giant, green-skinned creature with incredible strength whenever he becomes angry or agitated. Hulk is known for his uncontrollable rage, his catchphrase (Hulk smash!,) and his constant struggle to control his alter ego.
32;Thor;The Avengers;Stan Lee, Larry Lieber, Jack Kirby;1.95;Thor is a superhero from Marvel Comics, based on the Norse mythological god of thunder. He wields the enchanted hammer Mjolnir and possesses the ability to control lightning and manipulate weather. Thor is known for his benevolent nature, his godly strength, and his regal presence as the Prince of Asgard. He is often depicted as a noble warrior who defends Earth and the Nine Realms from various threats.
33;Black Widow;The Avengers;Stan Lee, Don Rico, Don Heck;1.68;Black Widow, also known as Natasha Romanoff, is a superheroine from Marvel Comics. She is a highly skilled spy and assassin who later becomes a member of the Avengers. Black Widow is known for her exceptional combat skills, her expertise in espionage, and her signature black costume.
34;Anna;Frozen;Jennifer Lee, Chris Buck;1.67;Anna is a character from Disney's animated film (Frozen.) She is the younger sister of Elsa and is known for her energetic and spirited personality. Anna embarks on a journey to save her kingdom from an eternal winter and learns the power of love and sisterhood along the way.
35;Olaf;Frozen;Jennifer Lee, Chris Buck;1.22;Olaf is a lovable snowman character from Disney's animated film (Frozen.) He is brought to life by Elsa magic and is known for his childlike innocence, humor, and his love for warm hugs. Olaf provides comic relief and acts as a supportive friend to Anna and Elsa.
36;Rapunzel;Tangled;Nathan Greno, Byron Howard;1.70;Rapunzel is a Disney princess from the animated film (Tangled.) She is a young princess with long, magical hair that possesses healing abilities. Rapunzel is known for her curious and adventurous nature, her artistic talents, and her determination to explore the outside world.
